node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support
(Hunt 1997)_INCLUDE_NA_Predation in support_no_no,(Hunt 1997),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(IUCN 2025) core source_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source,INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(IUCN 2025) core source_INCLUDE_NA_Population in support_no_no,(IUCN 2025) core source,INCLUDE,,Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes
(IUCN 2025) core source_INCLUDE_NA_Population not in support_no_no,(IUCN 2025) core source,INCLUDE,,Population not in support,no,no,Population not in support without data,Population not in support without data,Population without data,No
(IUCN 2025) core source_INCLUDE_NA_Population not in support_yes_no,(IUCN 2025) core source,INCLUDE,,Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No
(Woinarski 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Woinarski 2004),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Courtenay & Friend 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Courtenay & Friend 2004),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Dowding & Davis 2007)_EXCLUDE_NA_Expert opinion_NA_NA,(Dowding & Davis 2007),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Dowding & Murphy 1993)_EXCLUDE_NA_Expert opinion_NA_NA,(Dowding & Murphy 1993),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Dowding 1999)_EXCLUDE_NA_Expert opinion_NA_NA,(Dowding 1999),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Gerlach 2011)_EXCLUDE_NA_Expert opinion_NA_NA,(Gerlach 2011),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Kear & Williams 1978)_EXCLUDE_NA_Expert opinion_NA_NA,(Kear & Williams 1978),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Monks et al. 2013)_EXCLUDE_NA_No claim_NA_NA,(Monks et al. 2013),EXCLUDE,,No claim,,no,No claim,No claim,Excluded,Not relevant
(Madeiros et al. 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Madeiros et al. 2012),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Short et al. 1992)_EXCLUDE_NA_Expert opinion_NA_NA,(Short et al. 1992),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Reardon et al. 2012)_EXCLUDE_NA_Does not test claim_NA_NA,(Reardon et al. 2012),EXCLUDE,,Does not test claim,,no,Does not test claim,Does not test claim,Excluded,Not relevant
(Thibault & Varney 1991)_EXCLUDE_NA_Expert opinion_NA_NA,(Thibault & Varney 1991),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Morris 2000)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Morris 2000),EXCLUDE,Book or chapter,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(Sivakumar 2010)_INCLUDE_NA_Predation in support_no_no,(Sivakumar 2010),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Brooke 1987b)_INCLUDE_NA_Predation in support_no_no,(Brooke 1987b),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(DeWeese & Anderson 1976)_INCLUDE_NA_Predation not in support_no_no,(DeWeese & Anderson 1976),INCLUDE,,Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No
(Zarones et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Zarones et al. 2015),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Alley et al. 2007)_INCLUDE_NA_Predation in support_no_no,(Alley et al. 2007),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Bell & Bell 2000b)_EXCLUDE_NA_Expert opinion_NA_NA,(Bell & Bell 2000b),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Imber et al. 2003)_INCLUDE_NA_Predation in support_no_no,(Imber et al. 2003),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
