scientificName,value,pub_year,Note
Peromyscus guardia,(Vázquez-Domínguez et al. 2004),2004,
Thinornis cucullatus,(Weston 2003),2003,
Larus fuliginosus,(Wiedenfeld & Jiménez-Uzcátegui 2008),2008,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Tokudaia muenninki,(Yamada et al. 2010),2010,
Pterodroma madeira,(Zino et al. 2001),2001,
Onychogalea fraenata,(Augusteyn et al. 2022),2022,
Setonix brachyurus,(Bain 2015),2015,
Bettongia lesueur,(Christensen & Burrows 1995),1995,
Dasyurus hallucatus,(Cowan et al. 2020),2020,
Dasyurus hallucatus,(Cowan et al. 2020),2020,
Onychogalea fraenata,(Fisher 1999),1999,
Onychogalea fraenata,(Fisher et al. 2001),2001,
Myrmecobius fasciatus,(Friend & Thomas 1994),1994,
Dasyurus geoffroii,(Glen et al. 2010),2010,
Lagostrophus fasciatus,(Hardman et al. 2016),2016,
Setonix brachyurus,(Hayward et al. 2005),2005,
Onychogalea fraenata,(Horsup & Evans 1993),1993,
Sminthopsis douglasi,(Kutt 2003),2003,
Sminthopsis douglasi,(Kutt 2011),2011,
Sminthopsis douglasi,(Kutt & Kitchener 2012),2012,
Sminthopsis douglasi,(Kutt & Kitchener 2012),2012,
Dasycercus cristicauda,(Mahon 1999),1999,
Bettongia penicillata,(Marlow et al. 2015a),2015,
Bettongia penicillata,(Marlow et al. 2015a),2015,
Bettongia penicillata,(Marlow et al. 2015a),2015,
Bettongia penicillata,(Marlow et al. 2015a),2015,
Sminthopsis douglasi,(Mifsud & Woolley 2012),2012,
Bettongia lesueur,(Moseby et al. 2018),2018,
Bettongia lesueur,(Moseby et al. 2019),2019,
Macrotis lagotis,(Moseby et al. 2015),2015,
Bettongia lesueur,(Moyses et al. 2020),2020,
Macrotis lagotis,(Murphy et al. 2019),2019,
Dasyurus hallucatus,(Oakwood 2000),2000,
Dasycercus cristicauda,(Paltridge 2002),2002,
Macrotis lagotis,(Paltridge 2002),2002,
Petrogale lateralis,(Paltridge et al. 1997),1997,
Dasycercus cristicauda,(Paltridge 2005),2005,
Dasyurus hallucatus,(Peacock & Abbott 2014),2014,
Dasycercus cristicauda,(Pedler et al. 2016),2016,
Dasyurus hallucatus,(Pollock 1999),1999,
Phascogale tapoatafa,(Soderquist & Serena 1994),1994,
Dasyurus hallucatus,(Stokeld et al. 2018),2018,
Pteropus melanotus,(Tidemann et al. 1994),1994,
Dasycercus cristicauda,(Vernes et al. 2021b),2021,
Haematopus chathamensis,(Collar et al. 1994),1994,
Coenocorypha pusilla,(Higgins & Davies 1996),1996,
Coenocorypha barrierensis,(Miskelly 1988),1988,
Coenocorypha barrierensis,(Miskelly 1988),1988,
Coenocorypha aucklandica,(Miskelly 1987),1987,
Coenocorypha aucklandica,(Miskelly 1987),1987,
Coenocorypha aucklandica,(Miskelly 1987),1987,
Coenocorypha aucklandica,(Miskelly 1987),1987,
Coenocorypha pusilla,(Miskelly 1987),1987,
Coenocorypha aucklandica,(Veitch 1985),1985,
Thinornis novaeseelandiae,(Fleming 1939),1939,
Procellaria parkinsoni,(Bell 2013),2013,
